   t |  uy[mm] | fy[N] 
  6.93000000e-07   1.75466643e-35  -5.52040635e-26
  6.96000000e-07   2.10952526e-35  -6.58293802e-26
  6.99000000e-07   2.53415498e-35  -7.84410995e-26
  7.02000000e-07   3.04188554e-35  -9.33997228e-26
  7.05000000e-07   3.64852024e-35  -1.11129227e-25
  7.08000000e-07   4.37278120e-35  -1.32127903e-25
  7.11000000e-07   5.23683260e-35  -1.56980983e-25
  7.14000000e-07   6.26689504e-35  -1.86375350e-25
  7.17000000e-07   7.49396609e-35  -2.21116664e-25
  7.20000000e-07   8.95466522e-35  -2.62149271e-25
  7.23000000e-07   1.06922236e-34  -3.10579358e-25
  7.26000000e-07   1.27576428e-34  -3.67701853e-25
  7.29000000e-07   1.52110511e-34  -4.35031650e-25
  7.32000000e-07   1.81232887e-34  -5.14339850e-25
  7.35000000e-07   2.15777608e-34  -6.07695783e-25
  7.38000000e-07   2.56726010e-34  -7.17515715e-25
  7.41000000e-07   3.05231970e-34  -8.46619257e-25
  7.44000000e-07   3.62651359e-34  -9.98294674e-25
  7.47000000e-07   4.30576374e-34  -1.17637444e-24
  7.50000000e-07   5.10875539e-34  -1.38532258e-24
  7.53000000e-07   6.05740265e-34  -1.63033565e-24
  7.56000000e-07   7.17739038e-34  -1.91745933e-24
  7.59000000e-07   8.49880418e-34  -2.25372296e-24
  7.62000000e-07   1.00568626e-33  -2.64729488e-24
  7.65000000e-07   1.18927677e-33  -3.10766138e-24
  7.68000000e-07   1.40546921e-33  -3.64583305e-24
  7.71000000e-07   1.65989241e-33  -4.27458234e-24
  7.74000000e-07   1.95911962e-33  -5.00871711e-24
  7.77000000e-07   2.31082231e-33  -5.86539527e-24
  7.80000000e-07   2.72394844e-33  -6.86448662e-24
  7.83000000e-07   3.20892874e-33  -8.02898873e-24
  7.86000000e-07   3.77791532e-33  -9.38550456e-24
  7.89000000e-07   4.44505764e-33  -1.09647909e-23
  7.92000000e-07   5.22682134e-33  -1.28023878e-23
  7.95000000e-07   6.14235655e-33  -1.49393400e-23
  7.98000000e-07   7.21392294e-33  -1.74230243e-23
  8.01000000e-07   8.46738028e-33  -2.03080980e-23
  8.04000000e-07   9.93275393e-33  -2.36575834e-23
  8.07000000e-07   1.16448867e-32  -2.75441110e-23
  8.10000000e-07   1.36441898e-32  -3.20513405e-23
  8.13000000e-07   1.59775070e-32  -3.72755861e-23
  8.16000000e-07   1.86991099e-32  -4.33276740e-23
  8.19000000e-07   2.18718413e-32  -5.03350639e-23
  8.22000000e-07   2.55684313e-32  -5.84442724e-23
  8.25000000e-07   2.98730076e-32  -6.78236372e-23
  8.28000000e-07   3.48828316e-32  -7.86664715e-23
  8.31000000e-07   4.07102897e-32  -9.11946601e-23
  8.34000000e-07   4.74851792e-32  -1.05662757e-22
  8.37000000e-07   5.53573283e-32  -1.22362655e-22
  8.40000000e-07   6.44996000e-32  -1.41628899e-22
  8.43000000e-07   7.51113329e-32  -1.63844737e-22
  8.46000000e-07   8.74222810e-32  -1.89449001e-22
  8.49000000e-07   1.01697123e-31  -2.18943930e-22
  8.52000000e-07   1.18240621e-31  -2.52904063e-22
  8.55000000e-07   1.37403519e-31  -2.91986341e-22
  8.58000000e-07   1.59589283e-31  -3.36941580e-22
  8.61000000e-07   1.85261803e-31  -3.88627485e-22
  8.64000000e-07   2.14954187e-31  -4.48023429e-22
  8.67000000e-07   2.49278794e-31  -5.16247199e-22
  8.70000000e-07   2.88938689e-31  -5.94573985e-22
  8.73000000e-07   3.34740692e-31  -6.84457898e-22
  8.76000000e-07   3.87610262e-31  -7.87556334e-22
  8.79000000e-07   4.48608452e-31  -9.05757565e-22
  8.82000000e-07   5.18951210e-31  -1.04121195e-21
  8.85000000e-07   6.00031361e-31  -1.19636727e-21
  8.88000000e-07   6.93443607e-31  -1.37400862e-21
  8.91000000e-07   8.01012964e-31  -1.57730357e-21
  8.94000000e-07   9.24827093e-31  -1.80985314e-21
  8.97000000e-07   1.06727303e-30  -2.07574937e-21
  9.00000000e-07   1.23107892e-30  -2.37964035e-21
  9.03000000e-07   1.41936138e-30  -2.72680351e-21
  9.06000000e-07   1.63567928e-30  -3.12322842e-21
  9.09000000e-07   1.88409470e-30  -3.57571001e-21
  9.12000000e-07   2.16924214e-30  -4.09195375e-21
  9.15000000e-07   2.49640690e-30  -4.68069407e-21
  9.18000000e-07   2.87161389e-30  -5.35182779e-21
  9.21000000e-07   3.30172822e-30  -6.11656426e-21
  9.24000000e-07   3.79456917e-30  -6.98759438e-21
  9.27000000e-07   4.35903898e-30  -7.97928074e-21
  9.30000000e-07   5.00526873e-30  -9.10787132e-21
  9.33000000e-07   5.74478319e-30  -1.03917399e-20
  9.36000000e-07   6.59068718e-30  -1.18516559e-20
  9.39000000e-07   7.55787614e-30  -1.35110879e-20
  9.42000000e-07   8.66327399e-30  -1.53965440e-20
  9.45000000e-07   9.92610162e-30  -1.75379541e-20
  9.48000000e-07   1.13681799e-29  -1.99690988e-20
  9.51000000e-07   1.30142718e-29  -2.27280902e-20
  9.54000000e-07   1.48924676e-29  -2.58579114e-20
  9.57000000e-07   1.70346198e-29  -2.94070208e-20
  9.60000000e-07   1.94768328e-29  -3.34300296e-20
  9.63000000e-07   2.22600151e-29  -3.79884598e-20
  9.66000000e-07   2.54304998e-29  -4.31515934e-20
  9.69000000e-07   2.90407449e-29  -4.89974234e-20
  9.72000000e-07   3.31501197e-29  -5.56137163e-20
  9.75000000e-07   3.78257904e-29  -6.30992021e-20
  9.78000000e-07   4.31437155e-29  -7.15649034e-20
  9.81000000e-07   4.91897645e-29  -8.11356218e-20
  9.84000000e-07   5.60609754e-29  -9.19515985e-20
  9.87000000e-07   6.38669667e-29  -1.04170368e-19
  9.90000000e-07   7.27315233e-29  -1.17968831e-19
  9.93000000e-07   8.27943760e-29  -1.33545563e-19
  9.96000000e-07   9.42131991e-29  -1.51123394e-19
  9.99000000e-07   1.07165850e-28  -1.70952286e-19
  1.00200000e-06   1.21852882e-28  -1.93312540e-19
  1.00500000e-06   1.38500358e-28  -2.18518373e-19
  1.00800000e-06   1.57363007e-28  -2.46921898e-19
  1.01100000e-06   1.78727759e-28  -2.78917568e-19
  1.01400000e-06   2.02917701e-28  -3.14947115e-19
  1.01700000e-06   2.30296504e-28  -3.55505055e-19
  1.02000000e-06   2.61273387e-28  -4.01144810e-19
  1.02300000e-06   2.96308658e-28  -4.52485524e-19
  1.02600000e-06   3.35919913e-28  -5.10219639e-19
  1.02900000e-06   3.80688977e-28  -5.75121320e-19
  1.03200000e-06   4.31269643e-28  -6.48055824e-19
  1.03500000e-06   4.88396336e-28  -7.29989904e-19
  1.03800000e-06   5.52893775e-28  -8.22003369e-19
  1.04100000e-06   6.25687770e-28  -9.25301924e-19
  1.04400000e-06   7.07817270e-28  -1.04123142e-18
  1.04700000e-06   8.00447805e-28  -1.17129368e-18
  1.05000000e-06   9.04886482e-28  -1.31716402e-18
  1.05300000e-06   1.02259870e-27  -1.48071075e-18
  1.05600000e-06   1.15522681e-27  -1.66401675e-18
  1.05900000e-06   1.30461085e-27  -1.86940337e-18
  1.06200000e-06   1.47281173e-27  -2.09945697e-18
  1.06500000e-06   1.66213696e-27  -2.35705827e-18
  1.06800000e-06   1.87516940e-27  -2.64541493e-18
  1.07100000e-06   2.11479914e-27  -2.96809751e-18
  1.07400000e-06   2.38425909e-27  -3.32907936e-18
  1.07700000e-06   2.68716448e-27  -3.73278077e-18
  1.08000000e-06   3.02755685e-27  -4.18411773e-18
  1.08300000e-06   3.40995291e-27  -4.68855595e-18
  1.08600000e-06   3.83939886e-27  -5.25217052e-18
  1.08900000e-06   4.32153077e-27  -5.88171185e-18
  1.09200000e-06   4.86264157e-27  -6.58467862e-18
  1.09500000e-06   5.46975555e-27  -7.36939827e-18
  1.09800000e-06   6.15071095e-27  -8.24511591e-18
  1.10100000e-06   6.91425170e-27  -9.22209255e-18
  1.10400000e-06   7.77012915e-27  -1.03117135e-17
  1.10700000e-06   8.72921497e-27  -1.15266078e-17
  1.11000000e-06   9.80362622e-27  -1.28807805e-17
  1.11300000e-06   1.10068642e-26  -1.43897577e-17
  1.11600000e-06   1.23539679e-26  -1.60707475e-17
  1.11900000e-06   1.38616848e-26  -1.79428163e-17
  1.12200000e-06   1.55486590e-26  -2.00270843e-17
  1.12500000e-06   1.74356406e-26  -2.23469397e-17
  1.12800000e-06   1.95457166e-26  -2.49282754e-17
  1.13100000e-06   2.19045668e-26  -2.77997495e-17
  1.13400000e-06   2.45407474e-26  -3.09930717e-17
  1.13700000e-06   2.74860037e-26  -3.45433192e-17
  1.14000000e-06   3.07756166e-26  -3.84892832e-17
  1.14300000e-06   3.44487854e-26  -4.28738515e-17
  1.14600000e-06   3.85490513e-26  -4.77444278e-17
  1.14900000e-06   4.31247643e-26  -5.31533935e-17
