   t |  uy[mm] | fy[N] 
  4.65000000e-07   3.50000005e-01   9.00507828e+02
  4.68000000e-07   3.50000005e-01   9.00507828e+02
  4.71000000e-07   3.50000005e-01   9.00507828e+02
  4.74000000e-07   3.50000005e-01   9.00507828e+02
  4.77000000e-07   3.50000005e-01   9.00507828e+02
  4.80000000e-07   3.50000005e-01   9.00507829e+02
  4.83000000e-07   3.50000005e-01   9.00507829e+02
  4.86000000e-07   3.50000005e-01   9.00507829e+02
  4.89000000e-07   3.50000005e-01   9.00507829e+02
  4.92000000e-07   3.50000005e-01   9.00507830e+02
  4.95000000e-07   3.50000005e-01   9.00507830e+02
  4.98000000e-07   3.50000005e-01   9.00507830e+02
  5.01000000e-07   3.50000005e-01   9.00507830e+02
  5.04000000e-07   3.50000005e-01   9.00507831e+02
  5.07000000e-07   3.50000005e-01   9.00507831e+02
  5.10000000e-07   3.50000005e-01   9.00507831e+02
  5.13000000e-07   3.50000005e-01   9.00507831e+02
  5.16000000e-07   3.50000005e-01   9.00507831e+02
  5.19000000e-07   3.50000005e-01   9.00507832e+02
  5.22000000e-07   3.50000005e-01   9.00507832e+02
  5.25000000e-07   3.50000005e-01   9.00507832e+02
  5.28000000e-07   3.50000005e-01   9.00507832e+02
  5.31000000e-07   3.50000005e-01   9.00507833e+02
  5.34000000e-07   3.50000005e-01   9.00507833e+02
  5.37000000e-07   3.50000005e-01   9.00507833e+02
  5.40000000e-07   3.50000005e-01   9.00507833e+02
  5.43000000e-07   3.50000005e-01   9.00507833e+02
  5.46000000e-07   3.50000005e-01   9.00507834e+02
  5.49000000e-07   3.50000005e-01   9.00507834e+02
  5.52000000e-07   3.50000005e-01   9.00507834e+02
  5.55000000e-07   3.50000006e-01   9.00507834e+02
  5.58000000e-07   3.50000006e-01   9.00507834e+02
  5.61000000e-07   3.50000006e-01   9.00507835e+02
  5.64000000e-07   3.50000006e-01   9.00507835e+02
  5.67000000e-07   3.50000006e-01   9.00507835e+02
  5.70000000e-07   3.50000006e-01   9.00507835e+02
  5.73000000e-07   3.50000006e-01   9.00507836e+02
  5.76000000e-07   3.50000006e-01   9.00507836e+02
  5.79000000e-07   3.50000006e-01   9.00507836e+02
